X,Y
1.066424083709716797e+01,2.628871345520019531e+01
-2.521627664566040039e+00,9.330237388610839844e+00
-9.858853340148925781e+00,2.332559394836425781e+01
6.119870662689208984e+00,2.040989494323730469e+01
-1.747370958328247070e+00,9.956046104431152344e+00
-2.313826799392700195e+00,9.383859634399414062e+00
9.717002868652343750e+00,2.234436607360839844e+01
-6.582747936248779297e+00,2.407536697387695312e+01
-2.269675970077514648e+00,9.604656219482421875e+00
3.296974182128906250e+00,6.536918163299560547e+00
3.182391405105590820e+00,7.073902606964111328e+00
-9.787226676940917969e+00,2.248404502868652344e+01
-2.271482944488525391e+00,9.548489570617675781e+00
3.150906801223754883e+00,5.810646533966064453e+00
-1.822734236717224121e+00,9.895707130432128906e+00
-1.060324668884277344e+01,1.898594856262207031e+01
3.233718633651733398e+00,5.937424182891845703e+00
4.758562088012695312e+00,1.240666294097900391e+01
-1.843954205513000488e+00,9.842140197753906250e+00
-1.067467594146728516e+01,1.737012290954589844e+01
-2.307370424270629883e+00,9.603713989257812500e+00
3.075298786163330078e+00,7.507930755615234375e+00
6.085715293884277344e+00,2.148410034179687500e+01
-6.422980308532714844e+00,1.718728065490722656e+01
3.305631875991821289e+00,5.424556732177734375e+00
-2.057152509689331055e+00,9.895707130432128906e+00
-1.062956619262695312e+01,1.876771926879882812e+01
-1.064732360839843750e+01,1.833885383605957031e+01
3.050302743911743164e+00,7.887882232666015625e+00
-1.069403076171875000e+01,1.700824546813964844e+01
-2.610947847366333008e+00,9.281098365783691406e+00
3.088910579681396484e+00,7.234346389770507812e+00
-1.062181377410888672e+01,1.920931243896484375e+01
-3.093317270278930664e+00,9.548489570617675781e+00
-1.928256869316101074e+00,9.836093902587890625e+00
-1.982045531272888184e+00,9.718997955322265625e+00
3.272694349288940430e+00,5.906229972839355469e+00
-9.584672927856445312e+00,2.099064064025878906e+01
3.321516752243041992e+00,5.380898952484130859e+00
-6.643990874290466309e-01,1.103237533569335938e+01
3.301348447799682617e+00,5.424556732177734375e+00
1.082184028625488281e+01,2.323927307128906250e+01
-7.008302211761474609e+00,1.683290290832519531e+01
-2.475658178329467773e+00,9.492974281311035156e+00
-9.525334358215332031e+00,1.970226478576660156e+01
1.217193984985351562e+01,2.267766189575195312e+01
3.142881870269775391e+00,6.088418483734130859e+00
-1.383019804954528809e+00,1.053413963317871094e+01
-9.460603713989257812e+00,2.721319389343261719e+01
1.208427906036376953e+01,2.595028686523437500e+01
-9.675790786743164062e+00,2.420380401611328125e+01
3.219874620437622070e+00,5.572667598724365234e+00
-1.320278346538543701e-01,1.260284614562988281e+01
-6.689300060272216797e+00,1.683290290832519531e+01
5.007586479187011719e+00,1.287044811248779297e+01
-1.866122007369995117e+00,9.836093902587890625e+00
2.809130191802978516e+00,2.441129684448242188e+01
-1.987719297409057617e+00,9.746819496154785156e+00
-1.168307542800903320e+00,1.054820156097412109e+01
-1.088803005218505859e+01,1.718728065490722656e+01
9.394867897033691406e+00,2.633817672729492188e+01
3.111399412155151367e+00,6.903981208801269531e+00
3.277428865432739258e+00,5.499418258666992188e+00
1.136524295806884766e+01,1.877203750610351562e+01
5.259133875370025635e-02,2.437002372741699219e+01
-1.042865943908691406e+01,1.991209220886230469e+01
3.236496448516845703e+00,6.138314247131347656e+00
-9.105691909790039062e+00,2.473176383972167969e+01
-9.358722686767578125e+00,2.767443466186523438e+01
1.097467899322509766e+01,2.196585845947265625e+01
-8.817362189292907715e-01,1.081318950653076172e+01
-2.044759988784790039e+00,9.836093902587890625e+00
-2.380514383316040039e+00,9.383859634399414062e+00
1.017243862152099609e+01,2.473926544189453125e+01
-1.645780563354492188e+00,1.005584430694580078e+01
6.458461761474609375e+00,2.066824913024902344e+01
9.852560043334960938e+00,1.600221252441406250e+01
9.020627975463867188e+00,2.120508575439453125e+01
7.712840437889099121e-01,2.340517234802246094e+01
3.267768144607543945e+00,5.586841583251953125e+00
3.230849504470825195e+00,5.553712844848632812e+00
3.366827249526977539e+00,6.263554573059082031e+00
3.354857206344604492e+00,5.491104602813720703e+00
1.018388652801513672e+01,2.966660118103027344e+01
-1.747898459434509277e+00,1.014156246185302734e+01
-1.009551143646240234e+01,2.177055549621582031e+01
4.552625656127929688e+00,1.201819324493408203e+01
3.514372348785400391e+00,5.835150718688964844e+00
3.466730594635009766e+00,6.151218414306640625e+00
-9.413738250732421875e+00,2.751587104797363281e+01
-1.054062247276306152e+00,1.074205017089843750e+01
-2.325739622116088867e+00,9.492974281311035156e+00
-3.329974889755249023e+00,9.492348670959472656e+00
3.152964115142822266e+00,6.174059867858886719e+00
3.218893289566040039e+00,7.192914485931396484e+00
6.801656246185302734e+00,2.387842178344726562e+01
3.323777675628662109e+00,6.995277881622314453e+00
-2.733512878417968750e+00,9.224811553955078125e+00
-1.038798522949218750e+01,2.007658386230468750e+01
-9.555395126342773438e+00,2.767443466186523438e+01
6.099416732788085938e+00,2.066824913024902344e+01
3.113064765930175781e+00,6.719306945800781250e+00
-2.480881690979003906e+00,9.718997955322265625e+00
-1.064374065399169922e+01,1.718728065490722656e+01
-3.154439926147460938e+00,9.438101768493652344e+00
-1.049619007110595703e+01,1.876771926879882812e+01
3.574197292327880859e+00,2.532506942749023438e+01
3.159942626953125000e+00,6.112118721008300781e+00
3.183295011520385742e+00,6.579341888427734375e+00
2.502014875411987305e+00,2.968712043762207031e+01
-1.028361988067626953e+01,2.096257019042968750e+01
3.246157407760620117e+00,5.960262775421142578e+00
-9.685650825500488281e+00,2.330770111083984375e+01
1.209095382690429688e+01,2.106990242004394531e+01
3.122595071792602539e+00,7.154463768005371094e+00
6.970298767089843750e+00,2.128431320190429688e+01
-6.772567272186279297e+00,1.774773597717285156e+01
-2.492649316787719727e+00,9.277225494384765625e+00
-9.399954229593276978e-02,2.789825057983398438e+01
